ContrastType,InputSize,FreqRankVal,Variance,Mean,Maximum,Range
contrastive,284,5,0.002627192098765432,0.061911111111111104,0.13477777777777777,0.12177777777777778
contrastive,284,5,0.004920808648097134,0.09177979797979799,0.19972727272727273,0.17772727272727273
contrastive,284,5,0.007055534517510708,0.08688888888888889,0.2,0.18761904761904763
contrastive,284,5,5.9607875201721324e-05,0.02086993006993007,0.034999999999999996,0.030384615384615378
contrastive,284,5,0.0013699884259259264,0.05069444444444445,0.10777777777777779,0.08944444444444445
contrastive,284,5,0.0009544956032215647,0.046698717948717945,0.09615384615384616,0.08298076923076923
contrastive,284,5,0.002524235298902235,0.08118001443001444,0.15420454545454543,0.14430555555555552
contrastive,284,5,0.0007492188679726556,0.05166161616161615,0.10420454545454547,0.08323232323232324
contrastive,284,5,0.0001754770408163265,0.02264285714285714,0.04174603174603174,0.03507936507936507
contrastive,284,5,0.00014993549382716047,0.0325,0.05625,0.042249999999999996
contrastive,284,5,0.003417596928884807,0.07727272727272728,0.16,0.14856060606060606
contrastive,284,5,0.00011869077160493819,0.036538888888888885,0.051944444444444446,0.029999999999999995
contrastive,284,5,0.0027424375308641976,0.06684444444444446,0.14222222222222222,0.1388888888888889
contrastive,284,5,0.005364246377551019,0.08629285714285713,0.19457142857142853,0.17742857142857138
contrastive,284,5,0.00010579024943310655,0.03192063492063492,0.054285714285714284,0.03392857142857143
contrastive,284,5,0.0002099251851851852,0.03971111111111112,0.06222222222222222,0.049722222222222216
contrastive,284,5,0.0013592319948408235,0.05441783216783217,0.11,0.09942307692307692
contrastive,284,5,0.0016443383800122432,0.06636111111111112,0.141010101010101,0.12201010101010099
contrastive,284,5,0.0035672471135598403,0.09486060606060606,0.20444444444444446,0.1850808080808081
contrastive,284,5,0.00025528426684512937,0.035769930069930074,0.06681818181818182,0.05542929292929293
contrastive,284,5,0.005058368539944904,0.08146666666666666,0.17598484848484847,0.16507575757575757
contrastive,284,5,0.004072621728395062,0.07175555555555554,0.162,0.15255555555555556
contrastive,284,5,0.0016554877777777775,0.057533333333333325,0.12566666666666668,0.10916666666666668
contrastive,284,5,0.001000063696051423,0.055534848484848486,0.10574999999999998,0.08904545454545454
contrastive,284,5,0.003460636532298869,0.07004545454545455,0.1514285714285714,0.13892857142857143
contrastive,284,5,0.001491174349112426,0.05131923076923077,0.10575,0.09575
contrastive,284,5,0.0016420219244391969,0.07268701298701298,0.14285714285714285,0.12458441558441558
contrastive,284,5,0.00013520068027210891,0.032952380952380955,0.04916666666666668,0.03630952380952382
contrastive,284,5,0.0024076742115027834,0.0804935064935065,0.1642857142857143,0.15183116883116887
contrastive,284,5,0.0001640324074074074,0.026611111111111113,0.05194444444444444,0.04194444444444444
contrastive,284,5,0.002418810204081633,0.05907142857142857,0.12250000000000001,0.117
contrastive,284,5,0.0016749121913580245,0.07349999999999998,0.14375,0.13319444444444445
contrastive,284,5,0.0004452476157407407,0.04071388888888889,0.07655555555555556,0.06454166666666666
contrastive,284,5,0.0038212463269054176,0.0778939393939394,0.16886363636363638,0.1579545454545455
contrastive,284,5,0.00021571074380165282,0.028887445887445885,0.05142857142857142,0.04567099567099567
contrastive,284,5,0.0004957079365079366,0.045190476190476184,0.083,0.067
contrastive,284,5,0.006413973120083011,0.08579242979242979,0.19142857142857145,0.173968253968254
contrastive,284,5,0.00430466,0.07669999999999999,0.1775,0.16499999999999998
contrastive,284,5,0.0010927511111111106,0.062044444444444444,0.12333333333333332,0.10983333333333332
contrastive,284,5,0.003924081141975309,0.07288333333333333,0.15866666666666668,0.14311111111111113
contrastive,284,5,0.00010037544273907914,0.026694805194805195,0.05,0.035194805194805195
contrastive,284,5,0.0027212704081632645,0.07349999999999998,0.15428571428571428,0.1357142857142857
contrastive,284,5,0.0012094910714285714,0.06189285714285714,0.11857142857142858,0.10946428571428572
contrastive,284,5,0.00019220250000000002,0.03485,0.06,0.042499999999999996
contrastive,284,5,0.002517654834710744,0.08774545454545456,0.166,0.14825000000000002
contrastive,284,5,0.003636019116416692,0.06727474747474747,0.15055555555555555,0.14055555555555554
contrastive,284,5,0.0030404081632653063,0.07,0.15142857142857144,0.14285714285714288
contrastive,284,5,0.0007780958424692191,0.06459090909090909,0.10883116883116883,0.09204545454545456
contrastive,284,5,0.0019758397959183677,0.09473809523809525,0.1642857142857143,0.15511904761904766
contrastive,284,5,0.005952342592592593,0.08633333333333335,0.2,0.18444444444444444
