ContrastType,InputSize,FreqRankVal,Variance,Mean,Maximum,Range
contrastive,284,5,0.0020017158230027548,0.0648030303030303,0.143125,0.12479166666666666
contrastive,284,5,0.0015864661503719954,0.06559716209716211,0.12783068783068785,0.11581048581048584
contrastive,284,5,0.001942795599782613,0.07243290043290045,0.1442857142857143,0.12555555555555556
contrastive,284,5,0.0014789607756232686,0.0742315789473684,0.1223157894736842,0.1053157894736842
contrastive,284,5,0.0013953005050505057,0.08678282828282828,0.15194444444444444,0.12126262626262625
contrastive,284,5,0.0010551569783296532,0.06533172709643298,0.11516806722689077,0.09088235294117648
contrastive,284,5,0.0014600547298201682,0.06863988095238097,0.13013888888888886,0.11124999999999996
contrastive,284,5,0.0014571447158991805,0.06972893772893772,0.12104166666666669,0.10521749084249085
contrastive,284,5,0.0025483326859412647,0.05604220779220779,0.12450757575757576,0.11632575757575758
contrastive,284,5,0.0014296886642885458,0.07138505747126438,0.1325,0.11333333333333334
contrastive,284,5,0.001380934703776755,0.07352820512820513,0.11897435897435898,0.10330769230769232
contrastive,284,5,0.0008946670257412449,0.06106853146853146,0.10102564102564103,0.08147008547008547
contrastive,284,5,0.0016858917060941306,0.05410346320346321,0.11464285714285716,0.106991341991342
contrastive,284,5,0.001646932072912621,0.07076441241685145,0.1328048780487805,0.11757760532150777
contrastive,284,5,0.0017702603848381193,0.07662536954915003,0.13254988913525498,0.12611049519586104
contrastive,284,5,0.002550812823269805,0.0621439393939394,0.13291666666666668,0.12345238095238097
contrastive,284,5,0.0009089710859158476,0.05789841269841269,0.1111111111111111,0.09888888888888889
contrastive,284,5,0.0011272747344583244,0.06673162393162393,0.11367521367521367,0.09923076923076923
contrastive,284,5,0.001047770102040816,0.04415,0.09264285714285714,0.08389285714285714
contrastive,284,5,0.0015902411020732696,0.06977933177933178,0.11876456876456876,0.11090132090132089
contrastive,284,5,0.0009452060552754925,0.06298643578643578,0.09927272727272728,0.08395526695526695
contrastive,284,5,0.0006852104624479386,0.05421352438411262,0.10250000000000001,0.08276923076923078
contrastive,284,5,0.0015307377830738474,0.07542357642357644,0.13351981351981354,0.11826007326007328
contrastive,284,5,0.0010007980090170588,0.0631021904924344,0.11093126385809313,0.08941611234294161
contrastive,284,5,0.001224311217035576,0.05929487179487179,0.11198717948717948,0.10309829059829059
contrastive,284,5,0.0016218452596975675,0.048112820512820516,0.10666666666666666,0.09574358974358974
contrastive,284,5,0.0014422525,0.06935000000000001,0.12166666666666667,0.10791666666666667
contrastive,284,5,0.002226238236213467,0.07409980158730159,0.11754464285714283,0.10711607142857141
contrastive,284,5,0.0011991393406714534,0.07257103174603174,0.11764285714285713,0.09514285714285713
contrastive,284,5,0.0011973870584634223,0.05682289562289563,0.1008888888888889,0.09205555555555557
contrastive,284,5,0.0007587671555617209,0.0619084915084915,0.11461538461538462,0.08925174825174825
contrastive,284,5,0.0009946416437098256,0.06993939393939394,0.11011363636363636,0.10136363636363636
contrastive,284,5,0.001648737478037073,0.06757994505494505,0.123,0.10997802197802198
contrastive,284,5,0.0011817437422839503,0.04478055555555556,0.095,0.09472222222222222
contrastive,284,5,0.0021836622947457767,0.05960864681295717,0.13183189655172414,0.12077129049111808
contrastive,284,5,0.0012920713594183062,0.0496765814830331,0.1017204301075269,0.09394265232974913
contrastive,284,5,0.001017071428377372,0.062124708624708626,0.09953379953379952,0.08044289044289044
contrastive,284,5,0.002069544952333991,0.08633846153846154,0.14903846153846154,0.13416666666666666
contrastive,284,5,0.0013508249029982363,0.06556507936507937,0.11146031746031747,0.10012698412698413
contrastive,284,5,0.001641804494664641,0.05089136212624586,0.10990697674418605,0.0997641196013289
contrastive,284,5,0.0010336863599702429,0.05715018315018315,0.11177655677655679,0.09445512820512822
contrastive,284,5,0.001210795599496325,0.06339027149321266,0.12900452488687783,0.11
