ContrastType,InputSize,FreqRankVal,Variance,Mean,Maximum,Range
contrastive,284,5,0.0002904425131762988,0.05391483803552769,0.09112852664576804,0.05923458725182864
contrastive,284,5,0.0007604838921762,0.060072649572649586,0.1025,0.09064102564102564
contrastive,284,5,0.00018687177531026528,0.05321481481481481,0.07275641025641025,0.04325641025641024
contrastive,284,5,0.0009393265558854603,0.06950405053883316,0.11244444444444443,0.08844444444444442
contrastive,284,5,0.00251986528495207,0.09415852842809366,0.1545128205128205,0.13528205128205129
contrastive,284,5,0.0004655138444331206,0.062228601807549175,0.09680134680134683,0.06909799751905017
contrastive,284,5,0.00089316006953669,0.0614507326007326,0.10426282051282049,0.08810897435897433
contrastive,284,5,0.001340492307449646,0.07785339366515838,0.14502564102564103,0.12656410256410255
contrastive,284,5,0.000701631541575308,0.0659,0.11000000000000001,0.08300000000000002
contrastive,284,5,0.004151224727336667,0.10908170776591827,0.20181818181818184,0.17860139860139862
contrastive,284,5,0.0010008526531339035,0.07174084249084249,0.11230769230769233,0.0983760683760684
contrastive,284,5,0.0004131241710029587,0.041212121212121214,0.08747474747474747,0.06969696969696969
contrastive,284,5,0.0008303151808021038,0.05314358974358975,0.10446153846153847,0.0843974358974359
contrastive,284,5,0.0007918717495331614,0.06384901648059543,0.08877272727272727,0.07073444976076554
contrastive,284,5,0.0006626007917559434,0.03913333333333334,0.08666666666666667,0.07948484848484849
contrastive,284,5,0.0015406180053643462,0.07857013574660635,0.13570135746606338,0.11185520361990953
contrastive,284,5,0.0007609606603939164,0.0629157894736842,0.10400000000000001,0.09145454545454546
contrastive,284,5,0.0005663968982756861,0.05422222222222223,0.09388888888888888,0.07843434343434343
contrastive,284,5,0.0007223200130050879,0.052230169830169836,0.1145021645021645,0.10246919746919747
contrastive,284,5,0.0024780937414965987,0.08826666666666667,0.15476190476190477,0.14047619047619048
contrastive,284,5,0.0018200824833808165,0.05446239316239315,0.12458333333333332,0.11330128205128205
contrastive,284,5,0.0005331634371326679,0.05858585858585859,0.10166666666666667,0.08538461538461539
contrastive,284,5,0.0012586838597007431,0.06961960784313725,0.10089285714285715,0.09136904761904763
contrastive,284,5,0.0006570327135298566,0.06700158730158731,0.115,0.08305555555555556
contrastive,284,5,0.0014756819611656039,0.07216577540106953,0.13014705882352942,0.11378342245989306
contrastive,284,5,0.0022097496557426195,0.06013124346917451,0.12398467432950193,0.11580285614768375
contrastive,284,5,0.000644331638102975,0.05860434782608696,0.09537549407114623,0.08173913043478259
contrastive,284,5,0.0011366805985996327,0.06838257575757575,0.11448863636363636,0.10206439393939394
contrastive,284,5,0.0007946493378226711,0.06083636363636365,0.09922222222222224,0.07755555555555557
contrastive,284,5,0.0011304343309315838,0.057485347985347976,0.12044871794871795,0.09621794871794873
contrastive,284,5,0.000534590415418571,0.06152025652366211,0.09176470588235294,0.07355042016806723
contrastive,284,5,0.0012909337647928996,0.0666153846153846,0.1195,0.1075
contrastive,284,5,0.0013391310095399109,0.07486923076923077,0.12380952380952381,0.09714285714285714
contrastive,284,5,0.0004343999233952328,0.05661520467836258,0.09228070175438598,0.06947368421052633
contrastive,284,5,0.000686676225379959,0.05208910533910534,0.10017316017316018,0.08310245310245311
contrastive,284,5,0.0026995589694444448,0.09105166666666667,0.15083333333333335,0.13870833333333335
contrastive,284,5,0.0012433694332675874,0.07643846153846154,0.1349666666666667,0.11013333333333336
contrastive,284,5,0.0007645521024971325,0.05084581105169341,0.10144385026737969,0.07780748663101605
contrastive,284,5,0.0010193407664609055,0.05998148148148148,0.1132962962962963,0.0949212962962963
contrastive,284,5,0.0005978191666666667,0.06468333333333334,0.10066666666666667,0.07233333333333333
contrastive,284,5,0.0013454915797444407,0.06784647950089126,0.1322916666666667,0.11375000000000002
contrastive,284,5,0.0007964779692141507,0.05812173913043478,0.10267080745341614,0.08409937888198757
contrastive,284,5,0.0006348542018027259,0.06339019607843137,0.08916666666666669,0.06784313725490199
contrastive,284,5,0.001323941758812819,0.07772118078000431,0.11134453781512606,0.09392695539754364
contrastive,284,5,0.0009698843067033981,0.0657030303030303,0.13466666666666668,0.11466666666666668
contrastive,284,5,0.0005494882722883155,0.06909113965744403,0.10816666666666667,0.08334848484848485
contrastive,284,5,0.0007050049530886631,0.05884611584068107,0.1219732441471572,0.0957232441471572
contrastive,284,5,0.0014877798586366976,0.07663705118410999,0.13195238095238096,0.11861904761904762
contrastive,284,5,0.0005048674042840275,0.050397402597402594,0.0917142857142857,0.07199999999999998
contrastive,284,5,0.0009132356160241873,0.08110793650793649,0.1357142857142857,0.10104761904761905
non-contrastive,284,5,0.00021296574015401245,0.028544210821418566,0.05355810616929699,0.046519566615544454
non-contrastive,284,5,0.0003921329808630728,0.02865965309200604,0.06466666666666666,0.05841666666666666
non-contrastive,284,5,0.0001649377101379421,0.02921000690131125,0.057296296296296303,0.04422176213480562
non-contrastive,284,5,0.00022956885384852154,0.03555902343270765,0.0667384370015949,0.05123236412710097
non-contrastive,284,5,0.0002304985479292774,0.0362421052631579,0.06197368421052632,0.05355263157894737
non-contrastive,284,5,0.00017566671856978088,0.030249019607843135,0.05841176470588236,0.044686274509803926
non-contrastive,284,5,0.0008278651020408162,0.04134285714285714,0.08982142857142857,0.08257142857142856
non-contrastive,284,5,0.0001820377861978961,0.027992063492063495,0.05275396825396826,0.04334920634920635
non-contrastive,284,5,0.00041907031585872574,0.032083421052631574,0.066375,0.057175000000000004
non-contrastive,284,5,0.00031767248192148765,0.038034090909090906,0.06418750000000001,0.054187500000000006
non-contrastive,284,5,0.0002498982126881154,0.032966671716406604,0.05417247386759583,0.04218489622784427
non-contrastive,284,5,0.0003152271544251563,0.03475117554858934,0.06588362068965517,0.05350862068965517
non-contrastive,284,5,0.0003493025520355065,0.03232575757575758,0.06117424242424243,0.05371212121212122
non-contrastive,284,5,0.00018963780864197525,0.029916666666666668,0.05288888888888889,0.04322222222222222
non-contrastive,284,5,0.00012568531418112304,0.029860662525879923,0.051428571428571435,0.03464285714285714
