EM,Status
0.006412801131110989,contrastive
0.046345313258863534,contrastive
0.017289146644573317,contrastive
0.015067221510883482,contrastive
0.018681177976952623,contrastive
0.031257402368758014,contrastive
0.00833552718178228,contrastive
0.018450387292250355,contrastive
0.010455675227837614,contrastive
0.044786217303822935,contrastive
0.006864276568501919,contrastive
0.012007981220657276,contrastive
0.015943997317236752,contrastive
0.04086854460093897,contrastive
0.016681380146910174,contrastive
0.020604536308761665,contrastive
0.045168090510274754,contrastive
0.01929078898167768,contrastive
0.024596349043984576,contrastive
0.046587842846553,contrastive
0.03828521126760564,contrastive
0.14154259853066525,contrastive
0.025105832736532187,contrastive
0.019486272473550986,contrastive
0.009141857130808801,contrastive
0.03563895568533151,contrastive
0.011627843986998917,contrastive
0.012796109993293095,contrastive
0.017882451944370627,contrastive
0.008008962868117796,contrastive
0.038914521612433216,contrastive
0.015501092362757403,contrastive
0.00679432760949258,contrastive
0.014881010199125789,contrastive
0.00986697965571205,contrastive
0.005292417898051697,contrastive
0.02959371614301192,contrastive
0.010302725443570516,contrastive
0.0314326256043725,contrastive
0.01118355293048614,contrastive
0.030739631157108392,contrastive
0.02853416797078769,contrastive
0.01275586854460093,contrastive
0.010308098591549292,contrastive
0.03488812306462892,contrastive
0.03770919635459818,contrastive
0.04231041989642775,contrastive
0.019495305164319247,contrastive
0.0069242729101884025,contrastive
0.06430985915492957,contrastive
0.024963782696177064,contrastive
0.010869117141875642,contrastive
0.016612532336878413,contrastive
0.014232637202525496,contrastive
0.018509859154929576,contrastive
0.025752613842564588,contrastive
0.017294946147473074,contrastive
0.02513001083423618,contrastive
0.030661457328445562,contrastive
0.017016350979439855,contrastive
0.02098787167449139,contrastive
0.014720510563380283,contrastive
0.01536089110842338,contrastive
0.026464047442550036,contrastive
0.07913145539906102,contrastive
0.01716456634544107,contrastive
0.005408930857874516,contrastive
0.018008607198748045,contrastive
0.009768245838668388,contrastive
0.014315201554152503,contrastive
0.05442131047152479,contrastive
0.01116901408450704,contrastive
0.0313510292524377,contrastive
0.03461854460093896,contrastive
0.020345070422535208,contrastive
0.0170439302481556,contrastive
0.03000943807172935,contrastive
0.01590580178317611,contrastive
0.057833471416735706,contrastive
0.01153378756292267,contrastive
0.015476706392199353,contrastive
0.022005018617451834,contrastive
0.029882629107981222,contrastive
0.022872951997700494,contrastive
0.008183098591549295,contrastive
0.015880281690140843,contrastive
0.030152858326429166,contrastive
0.018387374607356365,contrastive
0.01345401822700912,contrastive
0.024250889955115318,contrastive
0.03309923762760047,contrastive
0.013679577464788734,contrastive
0.025877426722497147,contrastive
0.013830373545621557,contrastive
0.007639839034205231,contrastive
0.025229376257545268,contrastive
0.014014084507042258,contrastive
0.0111867501304121,contrastive
0.04562268346923648,contrastive
0.007200274819649605,contrastive
0.01890940236010658,contrastive
0.007363514419852446,contrastive
0.04560204363435516,contrastive
0.00883866837387964,contrastive
0.045007412898443296,contrastive
0.022882629107981223,contrastive
0.018412085415720127,contrastive
0.02758169014084507,contrastive
0.010548289738430585,contrastive
0.012174386525337592,contrastive
0.04724647887323945,contrastive
0.007994810971089693,contrastive
0.02333333333333333,contrastive
0.036107981220657275,contrastive
0.025889547813194965,contrastive
0.010706378006027438,contrastive
0.04138433339764616,contrastive
0.024480115990057994,contrastive
0.018101106639839052,contrastive
0.020945871306268998,contrastive
0.013375786634701826,contrastive
0.016765980498374862,contrastive
0.011408450704225352,contrastive
0.014878188047202132,contrastive
0.027138284250960307,contrastive
0.006008154188287624,contrastive
0.01859595070422535,contrastive
0.032914532650448136,contrastive
0.012160314830157412,contrastive
0.013450704225352116,contrastive
0.02340477648499694,contrastive
0.012922535211267603,contrastive
0.010482524778299425,contrastive
0.026354279523293608,contrastive
0.023249496981891344,contrastive
0.013257340654094054,contrastive
0.027734741784037557,contrastive
0.03840299863698319,contrastive
0.009140845070422534,contrastive
0.019190476190476192,contrastive
0.02185979513444302,contrastive
0.023444302176696543,contrastive
0.011919014084507039,contrastive
0.02266431924882629,contrastive
0.049535211267605635,contrastive
0.015295103957075788,contrastive
0.011904170118751722,contrastive
0.04004694835680751,contrastive
0.02470266040688577,contrastive
0.03730985915492958,contrastive
0.025466245750364252,contrastive
0.02478458989229495,contrastive
0.0169943661971831,contrastive
0.016579476861166995,contrastive
0.014839823253244958,contrastive
0.021399647887323944,contrastive
0.007188251459979387,contrastive
0.01586707746478873,contrastive
0.016702568351284176,contrastive
0.009423415492957745,contrastive
0.015301810865191147,contrastive
0.016272300469483567,contrastive
0.044772481040086666,contrastive
0.026511508072827213,contrastive
0.015281690140845069,contrastive
0.032272053372868786,contrastive
0.01949921752738654,contrastive
0.02430405965202983,contrastive
0.020129107981220657,contrastive
0.013160211267605634,contrastive
0.014587897756911838,contrastive
0.011389918458117121,contrastive
0.053470824949698195,contrastive
0.028035211267605633,contrastive
0.014750320102432775,contrastive
0.011011066398390341,contrastive
0.016161971830985913,contrastive
0.01766901408450704,contrastive
0.029587525150905437,contrastive
0.015581553839164021,contrastive
0.032734741784037555,contrastive
0.04511737089201879,contrastive
0.018908450704225352,contrastive
0.02483400402414487,contrastive
0.06430583501006035,contrastive
0.034738430583501,contrastive
0.03160211267605634,contrastive
0.017920858484238765,contrastive
0.01687323943661971,contrastive
0.027660406885758996,contrastive
0.015330985915492961,contrastive
0.0092566510172144,contrastive
0.03040241448692153,contrastive
0.04580985915492957,contrastive
0.013591549295774646,contrastive
0.017124413145539905,contrastive
0.030027085590465866,contrastive
0.013697183098591543,contrastive
0.03676598049837487,contrastive
0.04950898681933165,contrastive
0.015822166704519643,contrastive
0.01520972270972271,contrastive
0.01841172341172341,contrastive
0.029063651719901735,contrastive
0.006489373218345182,contrastive
0.017741503880117745,contrastive
0.008644106291165113,contrastive
0.041964285714285704,contrastive
0.005698139698139695,contrastive
0.012731660231660237,contrastive
0.018957528957528953,contrastive
0.044491634491634485,contrastive
0.017840608893240482,contrastive
0.02322920322920324,contrastive
0.045105892778023925,contrastive
0.021999009122902927,contrastive
0.025593925929121457,contrastive
0.05021093273724852,contrastive
0.04190830115830116,contrastive
0.13839165637436532,contrastive
0.02872892262722771,contrastive
0.022148461825881184,contrastive
0.011641967031188586,contrastive
0.038483849703361904,contrastive
0.01434585684585684,contrastive
0.014453882453882457,contrastive
0.02138121949442704,contrastive
0.010356850356850356,contrastive
0.04253761150312874,contrastive
0.0165976018451266,contrastive
0.009033162320833562,contrastive
0.014294368259885502,contrastive
0.007947947947947946,contrastive
0.00781677781677782,contrastive
0.03192753192753192,contrastive
0.011856791856791851,contrastive
0.03503889817322653,contrastive
0.007898866608544029,contrastive
0.03436272104780391,contrastive
0.03166666666666666,contrastive
0.010275418275418268,contrastive
0.011315154440154438,contrastive
